,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set boss items as tier 6,,,Range,Factor,,Cost,Factor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,0,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bleed,Poison,Frost,Stagger,Push,Move,Buff,Shaft,Repeat Action,,,,,,,,,,,,,,Average level ups required to equip items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two-handed weapon factor,,,1,1.3,,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,9,3,6,11,18,124,33,14,,,,,,,,,,,,,,4.0,3.9,3.8,3.9,3.7,3.8,3.9,3.8,3.9,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,,2,1.5,,2,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average Stagger per item tier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,1.6,,3,-5,,,,,,,,,,,,,,,,,,,,,,Base,,,,Tier 1,,,,Tier 2,,,,Tier 3,,,,,,,,,,,,,,,,,,,,,,,Knight,Warrior,Assassin,Mercenary,Pyromancer,Sorcerer,Cleric,Herald,Thief,Deprived,,Knight,Warrior,Assassin,Mercenary,Pyromancer,Sorcerer,Cleric,Herald,Thief,Deprived,,,,,Knight,Warrior,Assassin,Mercenary,Pyromancer,Sorcerer,Cleric,Herald,Thief,Deprived,,Levels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tier,Action 1,Action 2,Action 3,SUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mannikin Claws,425,2,94,50,89,53,TRUE,Darkroot,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,0,,,0,Weapon,TRUE,48,24,0,24,24,0,65,3,5,0,10,16,0,3,5,,10,16,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,20,20,14,14,20,14,20,20,14,14,,5,5,4,4,5,4,5,5,4,4,4,5,4.5,,20,20,12,12,20,12,20,20,12,12,,2.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,15.0,1,-3,3.5,3.5,0.0,0.0,0,1,1,0,0,0,0,0,2,0,0,2,19.0,1,-7,5.5,5.5,0.0,0.0,0,1,1,0,0,0,0,0,2,0,0,2,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,🔺,1,,,,,2◼️,BLK,BLK,,,,,,,,,,,1,,,2 🔁,,,4◼️,BLU,BLU,,,,,,,,,,,1,,,2 🔁,,,,,,,,,,,,,,,,,,,,,,,
Irithyll Rapier,422,2,94,50,88,53,TRUE,Core,Mini Boss,Boreal Outrider Knight,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,,,0,,,0,Weapon,,48,24,0,24,24,0,28,1,2,0,4,7,0,1,2,,4,7,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,20,20,14,14,20,14,20,20,14,14,,5,5,4,4,5,4,5,5,4,4,4,5,4.5,,20,20,12,12,20,12,20,20,12,12,,16.4,4.2,0.0,0.0,4,0,0,3.5,0.0,0.0,0.0,0.0,0,12.0,1,0,3.5,3.5,0.0,0.0,0,1,1,0,0,5,0,0,0,0,0,1,11.0,1,-3,3.5,5.5,0.0,0.0,0,1,1,0,0,5,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,BLK,,,,,,,🔺🔺,2,,,,,,BLK,BLK,,,,,,,,TRUE,,,,,,,,,2◼️,BLK,BLU,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umbral Dagger,420,5,70,31,60,30,TRUE,Core,Transposed,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,,Assassin,8,,Assassin,8,Weapon,,70,35,0,35,35,0,45,1,3,4,5,9,13,1,3,4,5,9,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,-99,-99,27,27,-99,27,-99,-99,27,27,,-96,-96,6,6,-96,6,-198,-198,6,6,6,6,6.0,,-85,-85,28,28,-85,28,-198,-198,28,28,,8.0,0.0,0.0,3.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,8.0,1,0,5.5,5.5,0.0,0.0,-3,1,1,0,0,0,0,0,0,0,0,1,9.0,1,-3,7.5,7.5,0.0,0.0,-3,1,1,0,0,0,0,0,0,0,0,1,12.5,1,-5,5.5,7.5,7.5,0.0,-3,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,1🤺,🔺,1,,,,,,BLU,BLU,,,-1,,,,,,,,,,,,,,2◼️,ORA,ORA,,,-1,,,,,,,,,,,,,,3◼️,BLU,ORA,ORA,,-1,,,,,,,,,,,,,,,
Lothric Knight Greatsword,420,2,86,43,64,67,TRUE,Painted World,,,,,,,,,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE,,,0,,,0,Weapon,,66,20,20,20,13,13,33,1,3,0,4,9,0,1,3,,4,9,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,20,20,20,20,14,20,27,20,20,14,,5,5,5,5,4,5,6,5,5,4,4,6,4.9,,12,12,12,12,12,14,18,14,12,8,,16.4,4.2,0.0,0.0,4,0,0,3.5,0.0,0.0,0.0,0.0,0,10.9,1.3,0,3.5,3.5,0.0,0.0,0,1.2,1,0,0,0,0,0,0,0,0,1,11.4,1.3,-5,3.5,3.5,3.5,0.0,0,1.2,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,BLK,,,,,,,🔺🔺,2,,,,1📏,,BLK,BLK,,,,⚡,,,,,,,,,,,,1📏,3◼️,BLK,BLK,BLK,,,⚡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Wood Grain Ring,420,3,183,135,162,100,FALSE,Explorers,,,Sunless City,,,,,,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE,,,0,,,0,Ring,,26,26,0,26,0,0,0,0,0,0,0,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,5,9,5,5,9,5,5,9,5,5,,2,3,2,2,3,2,2,3,2,2,2,3,2.3,,6,14,6,6,14,6,6,14,6,6,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,42.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,42,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"V1: When you dodge, you may move 2 nodes (instead of 1)      V2: If you spend stamina after an enemy attack misses, you can move 2 nodes instead of 1.",
Homeward Bone,420,2,124,76,105,88,TRUE,Asylum Demon,Mega Boss,Stray Demon,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,0,,,0,Ring,,40,20,0,0,20,20,0,0,0,0,0,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,14,14,14,14,9,9,9,9,14,5,,4,4,4,4,3,3,3,3,4,2,2,4,3.4,,12,12,12,12,8,8,8,8,12,4,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,42.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,42,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"During your activation, you may discard this card to end an encounter and return to the Bonfire",
Broadsword,419,4,82,40,72,40,TRUE,Core,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,,Knight,10,,Knight,10,Weapon,,58,30,30,28,0,0,35,1,2,3,4,7,10,1,2,3,4,7,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,14,20,20,20,-99,27,27,27,20,14,,4,5,5,5,-96,6,6,6,5,4,4,6,5.1,,12,20,20,20,-85,28,28,28,20,12,,17.4,4.2,3.5,0.0,1,0,0,3.5,0.0,0.0,3.5,0.0,0,7.0,1,0,3.5,3.5,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,8.0,1,-3,3.5,5.5,0.0,0.0,0,1,1,0,0,0,0,0,2,0,0,1,6.0,1,-7,5.5,5.5,0.0,0.0,0,1,1,0,0,0,0,0,2,0,0,1,,BLK,,,BLK,,,,🔺,1,,,,,,BLK,BLK,,,,,,,,,,,,,,,,,2◼️,BLK,BLU,,,,,,,,,,,1,,,,,,4◼️,BLU,BLU,,,,,,,,,,,1,,,,,,,
Great Scythe,419,4,90,46,79,45,TRUE,Explorers,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,0,,,0,Weapon,TRUE,53,32,32,21,0,0,43,2,3,0,6,11,0,2,3,,6,11,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,20,14,14,14,27,-99,20,20,14,20,,5,4,4,4,6,-97,5,5,4,5,4,6,4.7,,20,12,16,16,28,-93,20,20,16,20,,17.4,4.2,3.5,0.0,1,0,0,3.5,0.0,0.0,3.5,0.0,0,9.8,1,-1,3.5,3.5,3.5,0.0,-3,1,1.5,0,0,0,0,0,0,0,-2,1,10.5,1,-7,7.5,7.5,0.0,0.0,-3,1,1.5,0,0,0,0,0,0,0,-2,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,BLK,,,BLK,,,,🔺,1,,,,,1◼️,BLK,BLK,BLK,,-1,,TRUE,,,,,,,,TRUE,,,,4◼️,ORA,ORA,,,-1,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
Gargoyle Tail Axe,418,3,95,51,84,55,FALSE,Core,Mini Boss,Gargoyle,Sunless City,Legendary,,,,,TRUE,TRUE,FALSE,FALSE,TRUE,,FALSE,,,0,,,0,Weapon,TRUE,50,25,25,25,0,0,50,2,4,0,7,13,0,2,4,,7,13,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,14,14,14,14,20,20,14,20,20,14,,4,4,4,4,5,5,4,5,5,4,4,5,4.4,,12,12,12,12,20,20,12,20,20,12,,9.0,0.0,3.5,0.0,1,0,0,0.0,0.0,0.0,3.5,0.0,0,10.0,1,-1,5.5,5.5,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,17.8,1,-7,5.5,5.5,5.5,0.0,0,1,1.5,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,BLK,,,,🔺,1,,,,,1◼️,BLU,BLU,,,,,,,,,,,,,,,,,4◼️,BLU,BLU,BLU,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Painting Guardian Curved Sword,418,3,57,22,54,29,FALSE,Characters,Transposed,,Painted World,Transposed,,,,,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE,,Deprived,1,,Deprived,1,Weapon,,78,26,0,26,26,26,33,1,3,0,4,9,0,1,3,,4,9,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,44,54,35,35,35,35,35,44,35,27,,8,9,7,7,7,7,7,8,7,6,6,9,7.3,,34,42,26,26,26,26,26,34,26,18,,8.0,0.0,0.0,0.0,4,0,0,0.0,0.0,0.0,0.0,0.0,0,16.0,1,0,3.5,3.5,0.0,0.0,0,1,1,5,0,0,0,0,4,0,0,1,14.5,1,-5,3.5,3.5,3.5,0.0,0,1,1,5,0,0,0,0,4,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,🔺🔺,2,,,,,,BLK,BLK,,,,,,TRUE,,,,,2,,,,,,3◼️,BLK,BLK,BLK,,,,,TRUE,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Hard Leather Armor,414,3,59,24,53,32,FALSE,Core,,,Tomb of Giants,,,Sunless City,,,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,,,0,,,0,Armor,,78,26,26,26,26,0,0,0,0,0,0,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,35,44,35,27,35,35,35,44,35,27,,7,8,7,6,7,7,7,8,7,6,6,8,7.0,,26,34,26,18,26,26,26,34,26,18,,41.4,4.2,3.5,12.0,1,0,0,3.5,0.0,0.0,3.5,0.0,0,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,BLK,,,BLK,,,2🤸,🔺,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chester's Set,412,4,98,53,82,53,TRUE,Phantoms,Invader,Marvelous Chester,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,0,,,0,Armor,,50,30,0,20,30,0,0,0,0,0,0,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,20,20,14,14,14,14,-99,20,14,9,,5,5,4,4,4,4,-97,5,4,3,3,5,4.2,,20,20,16,16,12,12,-93,20,16,8,,38.2,6.6,7.5,3.0,2,0,0,5.5,0.0,0.0,7.5,0.0,0,3.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,3,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,BLU,,,ORA,,,1🤸,🔺🔺,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,You are immune to Bleed,
Halberd,407,4,109,63,88,57,FALSE,Core,,,Tomb of Giants,,,Sunless City,,,TRUE,TRUE,FALSE,TRUE,TRUE,,FALSE,,,0,,,0,Weapon,TRUE,46,31,15,0,0,31,40,1,3,0,5,11,0,1,3,,5,11,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,14,9,-99,-99,14,20,9,9,14,14,,4,3,-98,-98,4,5,3,3,4,4,3,5,3.8,,16,14,-97,-97,16,20,8,8,16,16,,21.2,6.6,0.0,0.0,4,0,0,5.5,0.0,0.0,0.0,0.0,0,7.2,1.3,-1,5.5,0.0,0.0,0.0,3,1,1,0,0,0,0,0,0,0,-2,1,8.3,1.3,-7,5.5,5.5,0.0,0.0,3,1,1,0,0,0,0,0,0,0,-2,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,BLU,,,,,,,🔺🔺,2,,,,1📏,1◼️,BLU,,,,1,,,,,,,,,,TRUE,,,1📏,4◼️,BLU,BLU,,,1,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
Giant's Halberd,404,3,88,45,81,47,FALSE,Explorers,,,Sunless City,,,,,,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE,,,0,,,0,Weapon,TRUE,50,27,27,0,0,23,40,2,3,0,6,10,0,2,3,,6,10,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,14,14,27,27,20,20,14,9,20,14,,4,4,6,6,5,5,4,3,5,4,3,6,4.6,,12,12,28,28,20,20,12,8,20,12,,15.2,6.6,0.0,0.0,1,0,0,5.5,0.0,0.0,0.0,0.0,0,8.7,1.3,-1,3.5,5.5,0.0,0.0,0,1,1,0,0,0,0,0,0,0,-2,1,12.5,1.3,-7,3.5,7.5,0.0,0.0,0,1,1.5,0,0,0,0,0,0,0,-2,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,BLU,,,,,,,🔺,1,,,,1📏,1◼️,BLK,BLU,,,,,,,,,,,,,TRUE,,,1📏,4◼️,BLK,ORA,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
Black Knight Greataxe,401,2,79,38,67,56,TRUE,Tomb of Giants,,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,,FALSE,,,0,,,0,Weapon,TRUE,60,20,20,0,20,20,52,2,4,3,7,14,10,2,4,3,7,14,10,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,20,20,27,27,20,20,20,20,27,9,,5,5,6,6,5,5,5,5,6,3,3,6,5.1,,14,14,18,18,14,14,14,14,18,6,,10.4,4.2,0.0,0.0,1,0,0,3.5,0.0,0.0,0.0,0.0,0,10.0,1,-1,5.5,5.5,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,5.0,1,-7,5.5,5.5,0.0,0.0,0,1,1,0,0,0,1,0,0,0,0,1,9.5,1,-7,5.5,5.5,0.0,0.0,0,1,1.5,0,0,0,0,0,0,0,0,1,,BLK,,,,,,,🔺,1,,,,,1◼️,BLU,BLU,,,,,,,,,,,,,,,,,4◼️,BLU,BLU,,,,,,,,,TRUE,,,,,,,,4◼️,BLU,BLU,,,,,TRUE,,,,,,,,,,,,,
Black Bow of Pharis,400,4,133,89,121,57,TRUE,Iron Keep,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,0,,,0,Weapon,TRUE,33,33,0,33,0,0,32,1,2,3,3,7,9,1,2,3,3,7,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,9,9,9,9,-99,9,9,9,9,9,,3,3,3,3,-99,3,3,3,3,3,3,3,3.0,,14,14,14,14,-99,14,14,14,14,14,,8.0,0.0,0.0,3.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,6.8,1.6,0,5.5,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,-2,1,9.4,1.6,-3,3.5,5.5,0.0,0.0,0,1,1,0,0,0,0,0,0,0,-2,1,12.6,1.6,-7,3.5,5.5,0.0,0.0,0,1,1.5,0,0,0,0,0,0,0,-2,1,,,,,,,,1🤺,🔺,1,,,,4📏,,BLU,,,,,,,,,,,,,,TRUE,,,4📏,2◼️,BLK,BLU,,,,,,,,,,,,,TRUE,,,4📏,4◼️,BLK,BLU,,,,,TRUE,,,,,,,,TRUE,,,,,
Carthus Curved Greatsword,398,4,92,49,81,51,TRUE,Tomb of Giants,,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,,FALSE,,,0,,,0,Weapon,TRUE,49,30,0,30,19,0,33,1,3,0,4,9,0,1,3,,4,9,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,20,20,14,14,-99,14,20,20,14,9,,5,5,4,4,-98,4,5,5,4,3,3,5,4.3,,20,20,12,12,-97,16,20,20,12,8,,14.0,0.0,0.0,3.0,4,0,0,0.0,0.0,0.0,0.0,0.0,0,12.0,1,0,3.5,3.5,0.0,0.0,0,1,1,5,0,0,0,0,0,0,0,1,10.5,1,-5,3.5,3.5,3.5,0.0,0,1,1,5,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,1🤺,🔺🔺,2,,,,,,BLK,BLK,,,,,,TRUE,,,,,,,,,,,3◼️,BLK,BLK,BLK,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balder Side Sword,396,4,77,38,71,38,FALSE,Core,Transposed,,Sunless City,Transposed,,,,,TRUE,TRUE,FALSE,FALSE,TRUE,,FALSE,,Warrior,9,,Warrior,9,Weapon,,56,33,33,23,0,0,45,2,4,0,6,12,0,2,4,,6,12,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,20,20,20,20,27,-99,20,20,20,20,,5,5,5,5,6,-97,5,5,5,5,5,6,5.1,,20,20,20,20,28,-93,20,20,20,20,,9.0,0.0,3.5,0.0,1,0,0,0.0,0.0,0.0,3.5,0.0,0,11.0,1,0,5.5,5.5,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,15.1,1.3,-7,7.5,7.5,0.0,0.0,0,1,1,0,0,0,0,0,2,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,BLK,,,,🔺,1,,,,,,BLU,BLU,,,,,,,,,,,,,,,,1📏,4◼️,ORA,ORA,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Havel's Armor,396,2,97,54,86,58,FALSE,Core,,,Sunless City,,,,,,TRUE,TRUE,FALSE,FALSE,TRUE,,FALSE,,,0,,,0,Armor,,46,23,23,0,23,0,0,0,0,0,0,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,14,9,14,14,14,14,20,20,14,14,,4,3,4,4,4,4,5,5,4,4,3,5,4.1,,12,8,12,12,12,16,20,20,12,12,,39.6,10.8,9.0,0.0,1,0,-1,3.5,5.5,0.0,3.5,5.5,0,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,BLK,BLU,,BLK,BLU,,,🔺,1,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V1: You cannot dodge or walk      V2: You cannot use dodge results or run,TRUE
Old Ironclad Armor,396,4,132,88,116,57,TRUE,Iron Keep,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,0,,,0,Armor,,34,34,34,0,0,0,0,0,0,0,0,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,9,9,9,9,9,-99,9,9,-99,9,,3,3,3,3,3,-99,3,3,-99,3,3,3,3.0,,14,14,14,14,14,-99,14,14,-99,14,,39.6,10.8,7.0,0.0,2,0,0,3.5,5.5,0.0,3.5,3.5,0,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,BLK,BLU,,BLK,BLK,,,🔺🔺,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catarina Armor,394,4,131,88,119,56,TRUE,Characters,Legendary,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,0,,,0,Armor,,33,33,33,0,0,0,0,0,0,0,0,0,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,9,9,9,9,9,-99,9,9,9,9,,3,3,3,3,3,-99,3,3,3,3,3,3,3.0,,14,14,14,14,14,-99,14,14,14,14,,39.4,13.2,5.5,0.0,2,0,-1,5.5,5.5,0.0,5.5,0.0,0,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,BLU,BLU,,BLU,,,,🔺🔺,2,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"When you run, it costs 2 ⬛stamina per node (instead of 1)",TRUE
